iter	Passed	Remaining
399	62720	15680
400	62907	15530
401	63137	15391
402	63409	15262
403	63644	15123
404	63891	14986
405	64106	14842
406	64311	14695
407	64514	14547
408	64720	14399
409	64853	14236
410	64971	14069
411	65123	13909
412	65318	13759
413	65592	13625
414	65948	13507
415	66085	13344
416	66239	13184
417	66375	13020
418	66521	12859
419	66660	12697
420	66791	12533
421	66924	12369
422	67053	12206
423	67169	12039
424	67306	11877
425	67431	11713
426	67566	11551
427	67697	11388
428	67827	11225
429	67976	11065
430	68096	10901
431	68253	10743
432	68395	10583
433	68516	10419
434	68631	10255
435	68784	10096
436	68903	9933
437	69047	9773
438	69161	9610
439	69314	9451
440	69653	9318
441	69835	9163
442	70028	9010
443	70230	8857
444	70432	8705
445	70606	8548
446	70819	8396
447	71015	8242
448	71223	8090
449	71382	7931
450	71564	7775
451	71737	7618
452	71959	7465
453	72157	7311
454	72492	7169
455	72753	7020
456	72989	6867
457	73218	6714
458	73454	6561
459	73681	6407
460	73887	6250
461	74021	6088
462	74285	5936
463	74428	5774
464	74602	5615
465	74796	5457
466	74983	5298
467	75162	5139
468	75468	4988
469	75748	4835
470	75984	4678
471	76183	4519
472	76419	4362
473	76629	4203
474	76879	4046
475	77115	3888
476	77406	3732
477	77650	3573
478	77898	3415
479	78233	3259
480	78708	3109
481	79232	2958
482	79408	2794
483	79660	2633
484	79877	2470
485	80083	2306
486	80503	2148
487	80735	1985
488	81021	1822
489	81257	1658
490	81531	1494
491	81766	1329
492	82219	1167
493	82442	1001
494	82642	834
495	82902	668
496	83123	501
497	83335	334
498	83531	167
499	83768	0
